tweet_id,created_at,text,retweet_count,favorite_count,user_id,user_name,user_screen_name,user_followers_count,total_engagement,sentiment,sentiment_score
1916111687586894248,Sat Apr 26 12:46:40 +0000 2025,"While the whole of India is saddened by the attacks on Indians in Pahalgam &amp; boycotting Pakistan.

Amit Shah's son Jay Shah is partying with Pakistani cricketers.

#PahlgamTerrorAttack https://t.co/8GCMSM1e8P",17,25,,ğ”¸ğ•ğ•£ğ•œ_â„‚ğ”¼ğ•†,Amrk_CEO,2653,42,negative,-1.0
1916100088713130070,Sat Apr 26 12:00:35 +0000 2025,"They don't have guts to question Modi or Amit Shah 

That's why they're targeting muslims who have absolutely nothing to do with Pahalgam terrorist attack

Hindutva supporters are doing exactly what those terrorists intended. 
https://t.co/rCMZXvzOHF",1785,5681,,Tarun Gautam,TARUNspeakss,17279,7466,neutral,0.0
1916088405731037238,Sat Apr 26 11:14:09 +0000 2025,"BIG EXPOSÃ‰ ğŸ’¥

The Lallantop has made a video to exposÃ© BJP &amp; Amit Shah's Home Ministry on Security Lapse in Pahalgam Deadliest Terror Attack.

To cover up this Negligence, #GodiMedia and the BJP IT Cell are trying to create Hindu-Muslim tensions to keep people distracted.

Doâ€¦ https://t.co/iNcl5VlqtG",1504,3293,,à¦¤à¦¨à§à¦®à¦¯à¦¼ l TÍanmoy l,tanmoyofc,23977,4797,negative,-1.0
1914896658749649341,Wed Apr 23 04:18:35 +0000 2025,"Amit Shah not only failed in stopping Terr0r attacks in Kashmir, he also misguided rest of India for politics

He literally threw innocent tourists in front of Terr0rists without any security

He is unfit to be HM, he must resign ğŸ™Œ

#PahalgamTerroristAttack #Pahalgam https://t.co/UbsNgA0XcF",1265,4505,,ğ—©eena Jain,DrJain21,20765,5770,negative,-1.0
1919394831186731079,Mon May 05 14:12:43 +0000 2025,"Pahalgam Terror Attack: à¤—à¥ƒà¤¹ à¤®à¤‚à¤¤à¥à¤°à¤¾à¤²à¤¯ à¤•à¤¾ à¤¬à¤¡à¤¼à¤¾ à¤à¤²à¤¾à¤¨, à¤¹à¤µà¤¾à¤ˆ à¤¹à¤®à¤²à¥‡ à¤µà¤¾à¤²à¥‡ à¤¸à¤¾à¤¯à¤°à¤¨ à¤²à¤—à¤¾à¤¨à¥‡ à¤•à¥‡ à¤¨à¤¿à¤°à¥à¤¦à¥‡à¤¶| Amit Shah

#pakistan #terrorattack #india #latestnews #punjabkesaritv https://t.co/N5dGbgTD5J",0,6,,Punjab Kesari,punjabkesari,226159,6,negative,-1.0
1919671249199939771,Tue May 06 08:31:06 +0000 2025,"Why Amit Shah was the security post removed from there just a few days before the Pahalgam attack?
#CivilDefence #mockdrills #RomeoS3Trailer #GoldRate #DiljitDosanjh #MetGala2025  #ThankMomWithAmazon #MotoEdge60ProOnFlipkart https://t.co/KRYzCFx9cw",46,63,,Diya Sharma,DiyaSharma_10,866,109,negative,-1.0
1919662049975787896,Tue May 06 07:54:32 +0000 2025,"We avoided to participate in the all party meeting on Pahalgam attack because we would have directly sought Home Minister Amit Shahâ€™s resignation for his inefficiency.

~Shivsena UBT MP Sanjay Raut https://t.co/kweiL2blzX",0,1,,Salt News,SaltNews_,1074,1,negative,-1.0
1914715900575662435,Tue Apr 22 16:20:19 +0000 2025,"High level meeting going on, LG &amp; Omar Abdullah briefing Home Minister Amit Shah ji on Pahalgam terror attack.

The only order Amit Shah Ji should give is, go out and kill terrorist and terrorist supporters, blow out the Mosques, Madrasa, Houses, or any safe heaven immediatelyâ€¦ https://t.co/PDGsE57qyP",53,215,,Oxomiya Jiyori ğŸ‡®ğŸ‡³,SouleFacts,56982,268,neutral,0.0
1918197792931266855,Fri May 02 06:56:06 +0000 2025,"Narendra Modi should immediately 
sack Home Minister Amit Shah for the security lapse and intelligence failure in the Terrorist attack in Pahalgam that claimed 27 innocent lives .

Who All Agree ? https://t.co/wbYPbJ5qSX",137,411,,Ravinder Kapur.,RavinderKapur2,39430,548,negative,-1.0
